date,sku_id,warehouse_id,units_sold,units_returned
2025-10-24,SKU00001,WH06,1,0
2025-11-18,SKU00001,WH06,1,0
2025-11-27,SKU00001,WH06,1,0
2025-11-28,SKU00001,WH06,1,0
2025-12-02,SKU00001,WH06,1,0
2025-12-05,SKU00001,WH06,1,0
2025-12-06,SKU00001,WH06,1,0
2025-12-07,SKU00001,WH06,1,0
2025-12-10,SKU00001,WH06,1,0
2025-12-12,SKU00001,WH06,1,0
2025-12-13,SKU00001,WH06,1,0
2025-12-14,SKU00001,WH06,1,0
2025-12-15,SKU00001,WH06,1,0
2025-12-18,SKU00001,WH06,1,0
2025-12-20,SKU00001,WH06,2,0
2025-12-22,SKU00001,WH06,1,0
2025-12-23,SKU00001,WH06,1,0
2025-12-24,SKU00001,WH06,1,0
2025-12-25,SKU00001,WH06,1,0
2025-12-26,SKU00001,WH06,1,0
2025-12-27,SKU00001,WH06,1,0
2025-12-29,SKU00001,WH06,1,0
2025-12-30,SKU00001,WH06,1,0
2025-12-31,SKU00001,WH06,1,0
2025-10-23,SKU00001,WH02,1,0
2025-10-24,SKU00001,WH02,2,0
2025-10-25,SKU00001,WH02,1,0
2025-10-26,SKU00001,WH02,2,0
2025-10-27,SKU00001,WH02,1,0
2025-10-28,SKU00001,WH02,1,0
2025-10-30,SKU00001,WH02,1,0
2025-11-01,SKU00001,WH02,1,0
2025-11-02,SKU00001,WH02,1,0
2025-11-03,SKU00001,WH02,1,0
2025-11-04,SKU00001,WH02,1,0
2025-11-06,SKU00001,WH02,1,0
2025-11-08,SKU00001,WH02,1,0
2025-11-09,SKU00001,WH02,2,0
2025-11-10,SKU00001,WH02,1,0
2025-11-11,SKU00001,WH02,2,0
2025-11-12,SKU00001,WH02,1,0
2025-11-13,SKU00001,WH02,2,0
2025-11-14,SKU00001,WH02,1,0
2025-11-15,SKU00001,WH02,1,0
2025-11-16,SKU00001,WH02,2,0
2025-11-17,SKU00001,WH02,1,0
2025-11-18,SKU00001,WH02,3,0
2025-11-19,SKU00001,WH02,2,0
2025-11-21,SKU00001,WH02,1,0
2025-11-22,SKU00001,WH02,1,0
2025-11-23,SKU00001,WH02,2,0
2025-11-24,SKU00001,WH02,1,0
2025-11-25,SKU00001,WH02,1,0
2025-11-26,SKU00001,WH02,2,0
2025-11-27,SKU00001,WH02,3,0
2025-11-28,SKU00001,WH02,3,0
2025-11-29,SKU00001,WH02,2,0
2025-11-30,SKU00001,WH02,2,0
2025-12-01,SKU00001,WH02,2,0
2025-12-02,SKU00001,WH02,4,0
2025-12-03,SKU00001,WH02,2,0
2025-12-04,SKU00001,WH02,2,0
2025-12-05,SKU00001,WH02,3,0
2025-12-06,SKU00001,WH02,6,0
2025-12-07,SKU00001,WH02,4,0
2025-12-08,SKU00001,WH02,1,0
2025-12-09,SKU00001,WH02,2,0
